FINALT1: failed (1%)
clock N reset start valid displayout done clockcount
0 3F 0 1 0 D8 0 0x223
0 3F 0 1 1 D8 0 0x224
0 3F 0 1 1 D8 0 0x225
0 3F 0 1 0 D8 0 0x226
0 3F 0 1 0 D9 0 0x227
0 3F 0 1 0 D9 0 0x228
0 3F 0 1 0 DA 0 0x229
0 3F 0 1 0 DA 0 22A
0 3F 0 1 0 DB 0 22B
0 3F 0 1 0 DB 0 22C
0 3F 0 1 0 DC 0 22D
0 3F 0 1 1 DC 0 22E
0 3F 0 1 0 DC 0 22F
0 3F 0 1 0 DD 0 0x230
0 3F 0 1 1 DD 0 0x231
0 3F 0 1 0 DD 0 0x232
0 3F 0 1 0 DE 0 0x233
0 3F 0 1 0 DE 0 0x234
0 3F 0 1 0 DF 0 0x235
0 3F 0 1 0 DF 0 0x236
0 3F 0 1 0 E0 0 0x237
0 3F 0 1 1 E0 0 0x238
0 3F 0 1 0 E0 0 0x239
0 3F 0 1 0 E1 0 23A
0 3F 0 1 0 E1 0 23B
0 3F 0 1 0 E2 0 23C
0 3F 0 1 0 E2 0 23D
0 3F 0 1 0 E3 0 23E
0 3F 0 1 1 E3 0 23F
0 3F 0 1 0 E3 0 0x240
0 3F 0 1 0 E4 0 0x241
0 3F 0 1 0 E4 0 0x242
0 3F 0 1 0 E5 0 0x243
0 3F 0 1 0 E5 0 0x244
0 3F 0 1 0 E6 0 0x245
0 3F 0 1 0 E6 0 0x246
0 3F 0 1 0 E7 0 0x247
0 3F 0 1 0 E7 0 0x248
0 3F 0 1 0 E8 0 0x249
0 3F 0 1 0 E8 0 24A
0 3F 0 1 0 E9 0 24B
0 3F 0 1 0 E9 0 24C
0 3F 0 1 0 EA 0 24D
0 3F 0 1 0 EA 0 24E
0 3F 0 1 0 EB 0 24F
0 3F 0 1 0 EB 0 0x250
0 3F 0 1 0 EC 0 0x251
0 3F 0 1 0 EC 0 0x252
0 3F 0 1 0 ED 0 0x253
0 3F 0 1 1 ED 0 0x254
0 3F 0 1 0 ED 0 0x255
0 3F 0 1 0 EE 0 0x256
0 3F 0 1 0 EE 0 0x257
0 3F 0 1 0 EF 0 0x258
0 3F 0 1 1 EF 0 0x259
0 3F 0 1 1 EF 0 25A
0 3F 0 1 0 EF 0 25B
0 3F 0 1 0 F0 0 25C
0 3F 0 1 0 F0 0 25D
0 3F 0 1 0 F1 0 25E
0 3F 0 1 1 F1 0 25F
0 3F 0 1 0 F1 0 0x260
0 3F 0 1 0 F2 0 0x261
0 3F 0 1 0 F2 0 0x262
0 3F 0 1 0 F3 0 0x263
0 3F 0 1 1 F3 0 0x264
0 3F 0 1 0 F3 0 0x265
0 3F 0 1 0 F4 0 0x266
0 3F 0 1 0 F4 0 0x267
0 3F 0 1 0 F5 0 0x268
0 3F 0 1 0 F5 0 0x269
0 3F 0 1 0 F6 0 26A
0 3F 0 1 0 F6 0 26B
0 3F 0 1 0 F7 0 26C
0 3F 0 1 0 F7 0 26D
0 3F 0 1 0 F8 0 26E
0 3F 0 1 1 F8 0 26F
0 3F 0 1 0 F8 0 0x270
0 3F 0 1 0 F9 0 0x271
0 3F 0 1 0 F9 0 0x272
0 3F 0 1 0 FA 0 0x273
0 3F 0 1 0 FA 0 0x274
0 3F 0 1 0 FB 0 0x275
0 3F 0 1 0 FB 0 0x276
0 3F 0 1 0 FC 0 0x277
0 3F 0 1 0 FC 0 0x278
0 3F 0 1 0 FD 0 0x279
0 3F 0 1 0 FD 0 27A
0 3F 0 1 0 FE 0 27B
0 3F 0 1 0 FE 0 27C
0 3F 0 1 0 FF 0 27D
0 3F 0 1 1 FF 0 27E
0 3F 0 1 0 FF 0 27F
0 3F 0 1 0 0 0 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
0 3F 0 1 0 0 1 0x280
